Accession Number,Date Recorded,Subject,Title
SPW 1629,1982-12-12T00:00:00Z,Women's music,Her Infinite Variety Radio Show: WORT-FM; Side A: 12/12/1982 pt. 3; Side B: 12/25/1982 pt. 1
, 12/25/1982,,
SPW 1630,1982-12-25T00:00:00Z,,Her Infinite Variety Radio Show: WORT-FM; Side A: 12/25/1982 pt. 2; Side B: 12/25/1982 pt. 3
SPW 1631,1983-01-02T00:00:00Z,,Her Infinite Variety Radio Show: WORT-FM; Side A: 1/2/1983; Side B: 1/9/1983 pt. 1
, 1/9/1983,,
SPW 1632,1983-01-09T00:00:00Z,Women's music,Her Infinite Variety Radio Show: WORT-FM; Side A: 1/9/1983 pt. 2; Side B: 1/23/1983 pt. 1
, 1/23/1983,classical music by women,
,,Israeli Yiddish music by women,
SPW 1633,1983-01-23T00:00:00Z,,Her Infinite Variety Radio Show: WORT-FM
SPW 1634,1983-01-30T00:00:00Z,"Folk music, singing, union organizing, women in folk music",Her Infinite Variety Show: WORT-FM
SPW 1635,1983-11-09T00:00:00Z,"MCC membership, religion, Christianity",National Council of Churches Vote on MCC Membership
SPW 1636,1982-01-26T00:00:00Z,"alcoholism, drug abuse, Puerto Rican lesbians",Rota Silverstrini Oral History on Alcoholism
,,attempted suicide,
,,AA,
SPW 1637,1981-12-11T00:00:00Z,"women's music, lesbian poetry, domestic violence, religion","At Home with the Archives: Jean Sirius, Mary Preet"
SPW 1638,1981-05-30T00:00:00Z,,At Home with the Archives: Susan Windle and Karen Kirschner
SPW 1639,1981-03-22T00:00:00Z,,At Home with the Archives: Laura Wetzler Singing Her Songs
SPW 1640,1980-11-23T00:00:00Z,"Native American women, Pueblo women, poetry",At Home with the Archives: Paula Gunn Allen reading
SPW 1641,1981-04-03T00:00:00Z,"Latina women, prose, poetry, women's music",At Home with the Archives
SPW 1642,,"women's music, old lesbians, interview, religion, sexualizatioon of lesbians, butch femme, family, coming out, parenting",Women Loving Women
SPW 1643,,,number not used
SPW 1644,,,number not used
SPW 1645,,"lesbian bar, bar raids, prison, police brutality, sexual assault, marriage","Peg B. Suzanne, Mabel"
SPW 1646,,c,number not used
SPW 1648,1976-01-01T00:00:00Z,women's music,"Patriarchy Games, Opportunities and Fears, Feminist Lullaby, Second Chances, Welcome to New York City"
SPW 1649,3/1991,"white privilege, publishing, representation, racism, academic journals",National Lesbian and Gay Writers Conference: Ethics of editing
SPW 1650,,,number not used
SPW 1651,1978-11-12T00:00:00Z,,
SPW 1653,1980-11-11T00:00:00Z,"World War II, older gay men, Black gay men, lesbians in World War II",Marching to a Different Drummer: Coming out in World War II; Tape 1 of 2
SPW 1654,,"World War II, Lesbian Veterans, Gay Veterans",Marching to a Different Drummer: Coming out in WWII Part 3; Tape 2 of 2
SPW 1655,,"women's poetry, rape, working class women",Visions Incognito: Poems for Drunken Angels and Other Visionaries
SPW 1656,11/1979,"pornography, Women Against Pornography, sex work, Village Voice","Off Our Backs Magazine, Vol. 9, #10"
SPW 1657,,Disability: Bibliography,Woman Books for Women Who are Blind or Physically Challenged
SPW 1658,11/1979,suffrage,"Off Our Backs magazzine, Volume 9, #10 Track 2 Tape 1 of 4"
SPW 1659,,"abortion, genital mutilation, military","Off Our Backs Magazine, Track 3 & 4, Volume 9, #11 Tape 2 of 4"
SPW 1660,,"poetry, women's history, rape, incest","Off Our Backs Magazine, Volume 9, )#10, Track 6 Tape 3 of 4,"
SPW 1661,,"racism, white supremacy, consciousness raising, white racism, anti-Semitism, second wave feminism, Chicana feminism","Off Our Backs Magazine, Volume 9, #10, Tracks 3 and 4, Tape 4 of 4"
SPW 1662,12/1979,"violence against women, radical feminism","Off Our Backs Magazine, Volume 9, #11,  Track 1; Tape 1 of 5"
SPW 1663,1979-09-08T00:00:00Z,"NWSA, abortion, fat oppression, eating disorders","Off Our Backs, August/September 1979, Volume 9, #11,Tape 5"
SPW 1664,,"feminist publishing, Southeast US lesbians, racism, reproductive rights","Off Our Backs Magazine, August/September 1979,Volume 9, #11, Tape 4 of 5"
SPW 1666,1985-01-01T00:00:00Z,"women's poetry, dedication ceremony","Dedication of the Audre Lorde Women's Poetry Center, Side 3"
SPW 1667,12/1979,"women in prison, cesarian sections, abortion, post partum depression, reproductive rights, violence against women","Off Our Backs, December 1979,Volume 9, #11, Tape 3 of 5"
SPW 1668,,"bibliography, audio catalogIntroduction explains purpose of tapes and the history of the project.",Gwen Elliot Tape 1: Woman Books for Women who are Blind or Physically Challenged
,,,
SPW 1669,,Disability: Bibliography,Woman Books for Women who are Blind or Physically Challenged
SPW 1670,,"lesbian humor, women's music",Gay Women's Alternative meeting
SPW 1671,,"ACT UP, LGBT organizing, women and HIV/AIDS, community organizing, AZT, clinical trial",Women in ACT UP Organizing Meeting
,,"SIDE A is an organizing meeting, SIDE B is Maxine speaking to a scientist summarizing a clinical trial of pregnant women using AZT. Side B ends abruptly.",
SPW 1672,1979-09-08T00:00:00Z,"trans people at marches, police bruality, National Women's Studies Association, sexism in academia","Off Our Backs, August/September 1979,Volume 9, #11, Tape 1"
SPW 1673,,"bibliography, catalog, disability",Woman books for Women Who are Blind or Physically Challenged
SPW 1674,1980-11-13T00:00:00Z,"meetings, protests, activism, Oakdale Indiana",Gay Women's Alternative meeting
SPW 1675,1979-09-08T00:00:00Z,"women in prison, Puerto Rican feminists","Off Our Backs Magazine, Volume 9 #8, August/September 1979, Tape 1"
SPW 1676,November 8,"grassroots activism, anti-pornography legislation, rape, censorship",FACT (Feminist Anti Censorship Taskforce) Briefing; Tape 1 of 2
SPW 1677,November 8 (early '80s),"anti-pornography legislation, censorship, Playboy, feminist sexual politics","FACT (Feminist Anti Censorship Taskforce) Briefing, part 3, Tape 2 og 2"
SPW 1678,1992-03-07T00:00:00Z,"The Persistent Desire, lesbian history, butch history, femme history, lesbian gender, consciousness raising",Interview Melissa interviews Joan Nestle
SPW 1679,March 1972,"medical, disability, blindness, blind lesbians, blind women, ableism","Gwen Elliott, Vol 2, #3"
SPW 1680,1979-04-15T00:00:00Z,,"Dempsey, Wales 1 of 4"
SPW 1681,,"women's poetry, women's music",Elayne Snyder Reading From Her Work
SPW 1682,,Feminism,Jan on WNET
SPW 1665,1979-09-08T00:00:00Z,"nuclear reform, environmentalism, miners, anti-semitism","Off Our Backs. Aig/Sept. 1979. Volume 9, #11,, Tape 3 of 5"
SPW 1649,3/1991,"white privelage, publishing, representation, academic",OutWrite '91:National Lesbian and Gay Writers Conference: Ethics of Editing
SPW 1647,1979-12-29T00:00:00Z,"agenda for the pannel, oral history, grassroots organizing, gay and lesbian history",Gay and Lesbian Historian Meeting: Workshop Planning
SPW 1683,,"Side A opera, sexual language, racism, sexual myths, sex work","Images of Women in Commercials, Crawford/WalkerSide A/5:30 Fly Me  Side B"
,,"sex before the big game, any athletic event/Side B: sexism, stewardess, sex discrimination, women's liberation, advertising culture",
SPW 1684,1980-01-15T00:00:00Z,"National Writer's Conference, lesbian authors, romantic friendships","Valerie Taylor: Our Lesbian Roots, Part 1 ""The Beginnings"", Tape 1 of"
SPW 1685,1980-01-22T00:00:00Z,,"Valerie Taylor:  Our Lesbian Roots, Part 2  ""The Crack in the Closet Door"""
SPW 1651,,,number not used
SPW 1686,January 1997,Women and AIDS,National Conference o n Women & HIV: Defining a National AIDS Policy:  Maxine Wolfe's Conference Plensery: Who's The Cure For?
,,National Policy on Women & AIDS,
,,underlying assumptions of policy,
SPW 1700,,Outing,MacCowan interview w/ Sally Gearhart
,,workplace discrimination,
,,confirmation in church,
,,butch vs femme,
,,androgyny,
,,experimentation w/ heterosexuality,
,,radical and cultural feminism,
,,is sexuality biological or choice,
,,homosexuals in the armed forces,
,,Greek Vs. American notions of homosexuality,
,,birth of lesbian nation in 1970's,
,,political identity of homosexuals,
,,,
SPW 1696,,healing from trauma,MacCowan Interview w/ Taya King
,,emotional abuse,
,,incest,
,,asexuality,
,,repression of sexuality,
,,denial of lesbianism,
,,female socialization,
,,impact of trauma on sexuality,
,,eating disordeers,
,,chronic illness,
,,unrequited love,
,,women centered lifestyle,
,,Freud,
,,psychoanalysis,
SPW 1689,,Gay and lesbian liberation,MacCowan interview w/ Lea Sanchez
,,being outed as a prostitute,
,,family relationships with lovers,
,,,
SPW 1688,,Defining lesbianism,MacCowan Interview w/ Lea Sanchez
,,Catholicism,
,,views on prostitution,
,,"murder of a ""working girl""",
,,first experience of a butch lesbian as a bottom,
,,losing a bisexual woman to a man,
,,phermones,
,,dangers of prostitution,
,,pimps,
,,jail time,
,,boundaries in open relationships,
,,affairs,
,,women as an oppressed class,
,,Project Aware,
,,,
SPW 1694,,elimination of male species,MacCowan Interview w/ K. Jean Harris
,,all women are lesbians,
,,kinship,
,,homosocial,
,,drugs,
,,Comission on the Status of Women,
,,nonmonogmy,
SPW 1693,,coming out,Maccowan interviews w/ Sharon Kaiser
,,working class,
,,pornography,
,,prostitutiom,
,,mental illness,
,,sex as self harm,
,,butch,
,,women's bars,
,,networking,
,,survival,
,,feminism,
,,drag,
,,gender as performance,
,,gay men,
,,camp,
,,lesbian and gay solidarity,
,,cheating,
,,consciousness raising,
,,,
SPW 1691,,female masculinity,Maccowan Interview w/ Angie Romalgli
,,lesbian stereotypes,
,,gender identity,
,,childhood experience w/ gender and sexuality,
SPW 1690,1988-08-31T00:00:00Z,comihng out,Maccowan Interview w/ Lisa Weenenberg
,,astrology,
,,disability,
,,professional education,
,,east coast republicans,
,,halfway homes,
,,birth control,
,,sexual health,
,,body shaming,
,,gay man/lesbian friendships,
,,alcoholism,
,,sexual trauma,
SPW 272,,Suicide,
,,depression,
,,pms,
,,intrusive thoughts,
,,reasons for being suicidal,
,,statistics on lgbt people and suicide,
,,lgbt specific suicide hotlines,
SPW 1687,,poverty,MacCowan interviews w/ Lea Sanchez
,,antiblack racism,
,,tom boy,
,,prostitution,
,,schizophrenia,
,,incest,
,,bisexuality,
,,child abuse,
,,incest,
,,boxing,
,,latina lesbians,
,,chicana culture,
,,,
SPW 1698,,working class,MacCowan interview w/ Virgina Crowder
,,single motherhood,
,,bohemians,
,,vietnam war,
,,mccarthyism,
,,the red scare,
,,mental illness,
,,racism,
,,suicide,
SPW 488,9/23,butch vs femme,
,,prostitution in the 50's in the community,
,,dating a prostitute,
,,reasons for lesbians becoming bisexual,
,,disease among lesbian prostitutes,
,,the carosel (bar),
,,street dykes,
,,,
SPW 1695,,adoption,MacCowan interview w/ Taya King
,,illness,
,,athiesm,
,,incest,
,,,
SPW 1692,,social work,MacCowan interview w/ Angie Romanogli
,,therapy,
,,counseling,
,,concerns of being out at work,
,,,
SPW 1699,,jealousy,MacCowan interview w/ Virginia Crowder
,,flings with women while married to a man,
,,raising children while working,
,,writing a bookl realization of homosexuality,
,,abortion rights,
,,coming out,
,,Women's Place,
,,first gay bar experience,
,,commitment levels to lesbian lifestyle,
,,custody battles,
,,sexual and physical abuse,
,,feminism,
,,lesbians with children,
SPW 1697,,insecurities,MacCowan interview w/ Taya King
,,child abuse,
,,coming out,
,,homophobia,
spw 1701,,Homophobia,MacCowan interview w/ Sally Gearhart
,,Outing; Job Discrimination,
,,Roles,
,,"butch vs femme - behavior, clothing",
,,Heterosexuality,
,,God,
,,publically coming out,
,,politics,
,,spirituality,
spw 1702,,rage,MacCowan interview w/ Sally Gearhart
,,lesbian bars,
,,lesbian community,
,,animal rights,
,,environmental activism,
,,astrology,
,,Science fiction,
,,aliens,
,,conformity,
,,self hatred,
,,self affirmation,
,,biological determinism,
,,men as inherently violent,
,,nature vs nurture,
,,strippers,
,,socialism,
,,Teachers and Students,
,,suicide attemps,
,,butch aesthetic,
1701,,Homophobia,MacCowan interview with Sally GearhartMacCowan interview with Sally Gearhart
,,Outing; Job Discrimination,
,,Roles,
,,Butch and Fem.,
,,clothing,
,,Heterosexuality,
,,God,
,,Coming Out,
,,politics,
,,spirituality,
,,,
,,rage,
,,lesbian bars,
,,lesbian community,
,,animal rights,
,,environmental activism,
,,astrology,
,,pisces,
,,Science fiction,
,,aliens,
,,conformity,
,,self hatred,
,,self affirmation,
,,biological determinism,
,,men as inherently violent,
,,nature vs. nurture,
,,strippers,
,,racism,
,,rock and roll,
,,chess club,
,,Teachers and Students,
,,butch aesthetic,
,,suicide attempt,
1705,,lesbian/gay/bisexual identity,MacCowan interview w/ Jane Robinson
,,stereotypes,
,,femme behavior,
,,power and ethics,
,,,
1704,,lesbianism,MacCowan interview w/ Jane Robinson
,,what does it mean to be female?,
,,perceptions of gender/gender roles,
,,woman's community,
,,lesbian culture,
,,being in the closet,
,,how are straight feminists different from lesbian feminists?,
,,perceptions of 2 women together,
1706,1988-02-23T00:00:00Z,"communism, political views",MacCowan interview w/ Priscilla Alexander
,,coming out,
,,questioning attractions to women,
,,social construct of gender,
,,heterosexual demeanor vs. homosexual demeanor,
,,,
1707,,domestic violence,MacCowan interview w/ Priscilla Alexander
,,radical therapy groups,
,,lesbian parenting,
,,coming out,
,,Coalition for Human Rights,
,,consciousness raising,
,,CR,
,,disliking labels,
,,Judaism,
,,change of identity over time,
,,lesbian as political,
,,,
1708,1988-06-23T00:00:00Z,religion vs. spirituality,MacCowan interview w/ Jae Treesinger
,,women's spirituality,
,,solstice circles,
,,coming out,
,,incest,
,,campus organizing at Irvine,
,,class division in liberatory movements,
,,sex practices,
,,bars,
,,police brutality,
,,erotic film,
,,Butch and Fem.,
,,Catholicism,
,,sin,
,,butch as third sex,
1709,1988-06-23T00:00:00Z,white supremacy,MacCowan interview w/ Jae Treesinger
, 12/4/88,finishing school,
,,butch performativity,
,,Black lesbian genders,
,,stud,
,,factory work,
,,Class,
,,Gay Liberation Movement,
,,"butch fashion, as imitation of Black fashion",
,,tomboy,
,,Butch and Fem.,
,,internalized misogyny,
,,macho femme,
,,drag,
,,genderfuck,
,,nonmonogamy,
,,,
1710,1988-12-04T00:00:00Z,memory recovery after trauma,MacCowan interview w/ Jae Treesinger
, 12/6/88,racism,
,,abusive family,
,,child molestation,
,,disablity,
,,top/bottom,
,,survivorship and victimization,
,,internalized sexism,
,,codependence,
,,gossip and scapegoating in lesbian organizations,
,,victim behavior,
,,lesbians of color,
1711,1988-12-06T00:00:00Z,women's spiritualit,MacCowan interview w/ Jae Treesinger
,,ritual process and community,
,,causes of lesbianism,
,,coming out,
,,dildos,
,,butch as third sex,
,,astrology,
,,cycle of abuse,
,,,
1712,1988-08-25T00:00:00Z,essence of butch,MacCowan interview w/ Sharon Kaiser
,,prostitution,
,,therapy,
,,detachment (from clients),
,,internalized misogyny,
,,definitions of feminist/feminism,
,,Abortion,
,,psychiatric medication,
,,hospitalization,
,,institutionalizationl,
,,COYOTE,
,,Hookers' Ball,
,,coming out as a prostitute,
,,AIDS,
,,cancer,
,,gay and lesbian as race/people/culture,
1713,1986-05-18T00:00:00Z,Catholicism,MacCowan interview w/ Jane Taylorson
,,definition of lesbian,
,,coming-out groups,
,,Word is Out,
,,coming out,
,,power lifting teams,
,,the gym as social activity w/ other lesbians,
,,,
1714,,misogyny in academia,MacCowan interview w/ Jane Taylorson
,,gender,
,,butch/femme roles,
,,growin up tomboy,
,,sex roles,
,,disappearance of space,
,,feminism,
,,visibility,
,,coming out,
,,,
1715,1988-02-23T00:00:00Z,bars,MacCowan interview w/ Kellan McCracken
,,Butch and Fem.,
,,gay men,
,,marriage to men,
,,transsexuality,
,,MtF lesbians,
,,FtM process,
,,insurance,
,,dress codes at the workplace,
,,closeted life,
,,femininity,
,,unionization,
,,arts and crafts,
,,monogamy,
,,coming out,
,,astrology,
,,medicalized homophobia,
,,Outing,
,,sex change,
,,death in family,
1716,,therapy,MacCowan interview w/ Kellan McCracken
,,homophobia in schools,
,,gay family members,
,,coming out,
,,AIDS vs. ARC,
,,bars in San Francisco,
,,working-class bars,
,,butch/femme in bars,
,,social discomfort w/ female masculinity,
,,feminism,
,,defining butch,
,,passing for male,
,,gender roles in household,
,,resistance to categorization,
,,,
1717,,masculinity and femininity,MacCowan interview w/ Kellan McCracken
,,fatness,
,,sex roles,
,,feminist community,
,,relationships with straight women,
,,"causes of femme, butch, queerness",
,,androgyny,
,,signals from gay vs. straight women,
,,straight women,
,,third sex,
,,old gay,
,,bisexuality,
,,rape,
,,molestation,
,,neuter,
1718,1988-06-11T00:00:00Z,cocaine,MacCowan interview w/ K. Jean Harris
,,abortion clinics,
,,firefighing,
,,alcoholism,
,,Shoah,
,,holocaust history,
,,preconceptions of gayness,
,,high school sororities,
,,coming out,
,,custody after divorce,
,,divorce from straight men,
,,political activism,
,,women's studies,
,,consciousness raising,
,,CR groups,
,,defining lesbian,
,,defining bisexual,
,,political lesbianism,
,,,
1719,Summer 1994,Redbird,Gail Gordon Interview for LHA
,,lesbian lands,
,,building houses,
,,Moonsucle,
,,women's spirituality,
,,solstice ritual,
,,River Spirit,
,,solidarity with women in the Panthers,
,,lesbians with boy children,
,,,
1720,,,Interview w/ Gail Gordon LHA
1721,,sex,Poems (2) Barnard
,,desire,
1722,1982-01-01T00:00:00Z,feminism in the Netherlands,Rockport Discussion
,,Black female representation,
,,decline of activist activity for women of color,
,,tokenization,
,,men's panels,
,,serial monogamy,
1723,1981-03-19T00:00:00Z,coming out,Sandy / SM 5&6
,,courtship while in college,
,,lesbian dorm life and discrimination,
,,social parole,
,,lesbian witch hunts in the army,
,,lesbians in the military,
,,perjury,
,,,
1724,Feb. 1995,institutional audism,
,,oral schools,
,,lipreading,
,,hearing parents of deaf children,
,,fascism,
,,interruption/disruption strategy,
,,premature birth,
,,pressure to marry and have chilren,
,,fascism in the US,
,,,
1725,,pornography,LHA Tape 2 (sides 3&4) Jewelle Gomez
,,S&M,
,,Butch and Fem.,
,,femininity,
,,sex practices,
,,top/bottom,
,,,
1726,1990-06-07T00:00:00Z,ACT-UP in Central NJ,On The Line ACT-UP
,,activist strategies,
,,phone zaps,
,,raising banners,
,,AZT access and cost,
,,HIV testing and immigration,
,,outing,
,,Florio's administration,
,,homophobia,
,,exclusivity of AIDS activism,
,,Peter Day's death,
,,NJ inheritance laws,
,,,
1727,Jun. 1976,,LFL Concert & Rally
1728,1976-06-25T00:00:00Z,violence against women at women's vents,Concert 6/25/76 Rally 6/26
, 6/26/76,,
1729,1981-03-19T00:00:00Z,Michigan Women's Music Festival,SM 3&4 T207
,,Michfest security procedures,
,,war with straight men,
,,childcare at Michfest,
,,Lesbian Connections,
,,male children at Michfest,
,,Butch and Fem.,
,,lesbians with children,
,,Abortion,
,,domestic violence,
,,UMass Amherst,
,,birth control,
,,courtship,
,,,
1744,1989-01-21T00:00:00Z,old lesbian history,Joan Nestle: Live in Hollywood!
,,On Our Backs,
,,Firebrand Books,
,,library censorship,
,,erotic literature,
,,Erotica,
,,McCarthy eria,
,,antisemitism,
,,communism,
,,pornography,
,,passing women,
,,femme,
,,victimization analysis,
,,intergenerational desire,
,,dating married women,
,,butch,
,,Feminism,
,,sex practices,
,,dildos,
,,strap-ons,
,,,
1743,1983-03-04T00:00:00Z,WAC,Mary Crawford 7/End
,,lesbians in the military,
,,military uniforms for women,
,,army nurses,
,,WWII,
,,butch,
,,coming out,
,,AA,
,,blacklisting,
,,communist party,
,,guilt by association,
,,Yung Communist League,
,,perjury,
,,antihomosexual drives in Washington,
,,working conditions,
,,Mattachine,
,,Daughters of Bilitis,
,,therapy,
,,medication,
,,,
1742,1983-02-24T00:00:00Z,Pearl Harbor,Mary Crawford 5/6
, 3/4/1984,modeling,
,,pornography,
,,The Well of Loneliness,
,,pressure to marry,
,,fashion,
,,pants,
,,women in war,
,,factories,
,,air force,
,,shipyards,
,,The Antique Shop bar,
,,gay men,
,,police raids,
,,fashion of the 1930's,
,,butch fashion,
,,gay bars in New York,
,,WWII,
,,America First,
,,Bundles for Britain,
,,gay and lesbian in the military,
,,WWI,
,,WAC,
,,rape (by American soldiers),
,,,
1741,1983-02-24T00:00:00Z,closeted fashion,Mary Crawford 3/4
,,gender roles in NYC,
,,secretarial work,
,,emotional support between women during the Depression,
,,lesbians with children,
,,Abortion,
,,abortion in the 1930's,
,,ectopic pregnancy,
,,butch,
,,butch/butch couples,
,,New York,
,,,
1740,1983-02-17T00:00:00Z,LHA,Mary Crawford 1/2
, 2/24/1983,female doctors,
,,alimony jail,
,,crushes on women,
,,college,
,,the Village in the 1920's-1930's,
,,speakeasies,
,,raids,
,,lesbian bars,
,,language,
,,dyke,
,,AC/DC,
,,AC/DC,
,,queer,
,,buch/femme,
,,marriage to gay men,
,,suicide,
,,Women's House of Detention,
,,,
1730,1989-03-01T00:00:00Z,printing accessibly,Hikane #1
,,accessibility,
,,classism,
,,ableism,
,,call for submissions,
,,blindness,
,,multiple sclerosis,
,,sign language,
,,alcoholism,
,,suicide,
,,mental illness,
,,unhappy marriage,
,,rape,
,,coming out,
,,cerebral palsy,
,,animal rights activism,
,,DIIAAR,
,,speciesism,
,,Blackness,
,,prison,
,,institutionalization,
,,Wry Crips,
,,HIV,
,,house building,
,,EIDER,
,,,
1731,1989-03-01T00:00:00Z,Tarot,Hikane #1
,,Education in a Disabled Gay Environment (EDGE),
,,ageism,
,,sexism,
,,Gallaudet,
,,antiracism,
,,,
1732,Summer,Matriarchy,Hikane #2
,1989-01-01T00:00:00Z,classism,
,,ableist language,
,,ableism,
,,racism,
,,antisemitism,
,,anti-fatness,
,,female genital mutilation,
,,AIDS,
,,definitions of disability,
,,construction of disability,
,,technology,
,,ableism in the lesbian community,
,,ableism in spirituality,
,,benefists of accessibility,
,,consciousness raising strategies,
,,mentalism,
,,,
1733,,antipsychiatry,Hikane #2
,,financial report,
,,deaf lesbians,
,,Out/Inside,
,,prisons,
,,Abortion,
,,Roe v. Wade,
,,list of resources,
,,,
1734,October,spirituality and disability,Himane #3
,1989-01-01T00:00:00Z,Wry Crips,
,,goddess,
,,editing process,
,,cripple goddess,
,,antipsychiatry,
,,psychic power of women,
,,Tarot,
,,Illness: Environmental,
,,EI,
,,depression,
,,carpal tunnel syndrome,
,,accupuncture,
,,five element theory,
,,,
1735,,Illness: Environmental,Hikane #3
,,EI,
,,allergies,
,,Broomstick magazine,
,,Wry Crips,
,,festival planning and accessibility,
,,,
1736,1990-03-01T00:00:00Z,spellings of women/wimmin/woman/womon,Hikane #4
,,mastectomy,
,,breast cancer,
,,chronic fatigue,
,,passing,
,,fatness,
,,,
1739,,Separatism,Hikane #4
,,ableism in literature,
,,ageism,
,,Broomstick magazine,
,,fatness,
,,editing,
,,feminist editing,
,,neurofibromatosis,
,,cancer,
,,AIDS,
,,,
1738,1993-01-01T00:00:00Z,humor,"Hikane #12, Tape 1"
,,Judaism,
,,health,
,,Illness: Environmental,
,,EI,
,,ableism,
,,toxicity,
,,scent sensitivity,
,,myalgic encephalomyelitis,
,,chronic fatigue,
,,Disabled in Action,
,,Sister Homelands on Earth,
,,Saguaro Sister Land,
,,sex,
,,abuse,
,,celibacy,
,,,
1739,,abuse,"Hikane #12, Tape 2"
,,incest,
,,Colorado Cross-Disability Coalition,
,,Clinton administration,
,,fatness,
,,abuse in lesbian community,
,,battery,
,,BDSM,
,,cervical cancer,
,,childhood sexual abuse,
,,Black Women's Network,
,,white poverty,
,,poor white trash,
,,Hag Rag,
,,,
SPW 1746,January,AIDS Clinical Research and Women,"Maxine Wolfe of  ACT UP NY's Women's Committee: ""Who's the Cure For"" - National Conference on Women & HIV"
,1987-01-01T00:00:00Z,,
SPW 1747,1992-08-07T00:00:00Z,Accelerated Approval of HIV Drugs,ACT UP Meeting at FDA re Accelerated Approval
SPW 1748,Fall,Why the CDC should change the definition of AIDS,Linda Meridith's Presentation at Final CDC Hearing re Changing the Definition of AIDS
,1992-01-01T00:00:00Z,,
1765,January 9,orgasmic sex,Jan. 9 1st Meet
,,orgasms,
,,neighborhood safety,
,,spaciousness,
,,open space vs. used space,
,,heating,
,,illness,
,,communal bedroom,
,,privacy,
,,violation and trust,
,,upbringing,
,,,
1764,June 1987,femmes throughout history,"Bad Attitude Smut Writers Conference, Side 3"
,,fatness,
,,fat lesbian representation in smut,
,,censorhip of lesbian masculine identity,
,,of masculine lesbian sex practices,
,,differences in oppressions of butch vs. femme,
,,"Boots of Leather, Slippers of Gold",
,,A Restricted Country,
,,sex toys,
,,"sex toy manufacturing, advertising, distribution",
,,respectability,
,,fingers vs. dildos,
,,butch/femme sex,
,,Salsa Soul Sisters,
,,breaking gender,
,,queens,
,,passing women,
,,,
1763,1987-01-17T00:00:00Z,Aging,Passages III
,,death,
,,ageism,
,,embracing and adoring changes brought by aging,
,,,
1762,,scheduling,CRC Meeting
,,regional student conferences,
,,the Christian Church,
,,Christianity in capitalist and socialist societies,
,,Syracuse Catholic community,
,,Class,
,,international Student Christian Federation,
,,letter correspondence in response to incarceration,
,,Marxism,
,,,
1761,1981-12-30T00:00:00Z,Surpassing the Love of Men,"Lillian Faderman - Womanbooks Dec. 30, 1981 Side 1/3, 2/3"
,,love between women in literature pre- and post- 1900,
,,change in perception of female same-sex love over time,
,,medical invention of lesbianism,
,,sexual expectations of women over time,
,,Freud,
,,Freudion psychology,
,,lack of information about Black lesbians at the turn of the century,
,,class analysis,
,,working class women,
,,transvestites,
,,The Children's Hour,
,,romantic friendship,
,,Lesbian Herstory Archives,
,,,
1756,1988-08-31T00:00:00Z,feminism,MacCowan interview w/ Lisa Waennenlug
, 11/23/88,animosity between women,
,,bisexual parents,
,,death of relatives,
,,transsexual vs. transvestite,
,,AC/DC,
,,marriage to queer men,
,,obesity,
,,sobriety,
,,drug addiction,
,,alcoholism,
,,battered women,
,,unions,
,,unionization,
,,lesbian weddings,
,,lesbian marriage,
,,coming out,
,,love,
,,cohabitation,
,,Judaism,
,,conversion to Judaism,
,,relationship contracts,
,,Jewish family,
,,couple's counseling,
,,limerance,
,,astrology (fire signs),
,,alcoholism in lesbian commumnity,
,,joy,
,,reasons for drinking,
,,,
1757,June 1981,butch lesbians,Judith S. Statement Butch-Fem Tape 2
,,,
1758,1983-09-22T00:00:00Z,Feminism,"Barbara Grier reading Lee Lynch's Toothpick House, Tape 2"
,,Zami,
,,The Desert with a Heart,
,,Pullitzer prizes,
,,celebration of misery in literature,
,,Lesbian Herstory Archives,
,,coming out,
,,Writing: Literature: Lesbian,
,,Daughters of Bilitis,
,,The Ladder,
,,The Color Purple,
,,Naiad Press,
,,Persephone,
,,,
1759,,archives management,2B About the Archives
,,prehistory of women,
,,Matriarchy,
,,finances,
,,Fundraising,
,,Womanspirit,
,,lesbian anthropologists,
,,income sharing,
,,incorporation,
,,how to keep men out,
,,transvestites,
,,transsexual women,
,,drag queens,
,,music,
,,books in process,
,,purpose of the Archives space,
,,intent,
,,,
1760,1977-01-01T00:00:00Z,privilege,MLA 1977 Chicago Lesbian Literature Panel / 1978 Lesbian Writers Conference
, June 22,language,
,1978-01-01T00:00:00Z,meaning of lesbianism,
,,"""hagology"" and ""hagocracy""",
,,spinster,
,,Mattachine,
,,pride rallies,
,,homophle organizations,
,,tolerance as insult,
,,divorce laws,
,,ageism,
,,racism,
,,,
1755,September 29,straight men,
, October 3,straight marriage,
, October 4,carreer women,
,,military,
,,living with men,
,,Writing,
,,age differences in lesbian relationships,
,,holistic doctors,
,,chronic migraines,
,,gluten insensitivity,
,,food allergies,
,,diabetes,
,,Out in the Mountains lesbian & gay monthly publication,
,,prayer,
,,spirituality,
,,life force,
,,love,
,,death of pets,
,,recognition of lesbian love,
,,queer society,
,,elderly lesbians,
,,"discomfort with the word ""dyke""",
,,racism,
,,segregated bathrooms,
,,Christianity,
,,homophobia,
,,Chritisan God,
,,common law marriage,
,,Golden Threads,
,,parthenogenesis,
,,dogs,
,,emotional support,
,,self-reliance,
,,friendship,
,,loneliness,
,,life in Vermont,
,,conformity,
,,small towns,
,,,
1754,1984-06-24T00:00:00Z,Abortion,Her Turn News / Deb Andersen Final Show Pt. 1
